transaction_date,narration,transaction_amount,balance,transaction_type
16/02/2017,NEFT/INTERSWITCHNG/Goodsandservices16022,19552.26,3542601.51,CREDIT
16/02/2017,Zenith POS Settlement Comm for16/02/2017,87.51,3542514.0,DEBIT
16/02/2017,Interbank + VAT Charge,105.0,3542409.0,DEBIT
16/02/2017,Interbank + VAT Charge,105.0,3542304.0,DEBIT
16/02/2017,remaining//NEFT TRF TO SGKGLOBAL SHIPPING SERVICES,499914.0,3042390.0,DEBIT
16/02/2017,yogurt//NEFT TRF TO SGK GLOBALSHIPPING SERVICES,800000.0,2242390.0,DEBIT
17/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 17Feb,2282.75,2244672.75,CREDIT
17/02/2017,Zenith POS Settlement for 17/02/2017,7350.0,2252022.75,CREDIT
17/02/2017,NEFT/INTERSWITCHNG/Goodsandservices17022,7940.0,2259962.75,CREDIT
17/02/2017,Zenith POS Settlement Comm for17/02/2017,91.88,2259870.87,DEBIT
20/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 20Feb,6004.62,2265875.49,CREDIT
20/02/2017,NEFT/INTERSWITCHNG/Goodsandservices19022,6451.25,2272326.74,CREDIT
20/02/2017,Zenith POS Settlement for 20/02/2017,10350.0,2282676.74,CREDIT
20/02/2017,NEFT/INTERSWITCHNG/Goodsandservices20022,12455.89,2295132.63,CREDIT
20/02/2017,NEFT/INTERSWITCHNG/Goodsandservices18022,13547.64,2308680.27,CREDIT
20/02/2017,CD RUTH BABA 0109377,880000.0,3188680.27,CREDIT
20/02/2017,Zenith POS Settlement Comm for20/02/2017,129.39,3188550.88,DEBIT
21/02/2017,Zenith POS Settlement for 21/02/2017,2500.0,3191050.88,CREDIT
21/02/2017,NEFT/INTERSWITCHNG/Goodsandservices21022,14043.89,3213034.77,CREDIT
21/02/2017,Zenith POS Settlement Comm for21/02/2017,31.25,3213003.52,DEBIT
22/02/2017,Zenith POS Settlement for 22/02/2017,400.0,3213403.52,CREDIT
22/02/2017,NEFT/INTERSWITCHNG/Goodsandservices22022,1389.51,3214793.03,CREDIT
22/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 22Feb,2729.38,3217522.41,CREDIT
22/02/2017,Zenith POS Settlement Comm for22/02/2017,5.0,3217517.41,DEBIT
23/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 23Feb,5260.25,3222777.66,CREDIT
23/02/2017,Zenith POS Settlement for 23/02/2017,7250.0,3230027.66,CREDIT
23/02/2017,NEFT/INTERSWITCHNG/Goodsandservices23022,7989.63,3238017.29,CREDIT
23/02/2017,Zenith POS Settlement Comm for23/02/2017,90.63,3237926.66,DEBIT
24/02/2017,Zenith POS Settlement for 24/02/2017,400.0,3238326.66,CREDIT
24/02/2017,NEFT/INTERSWITCHNG/Goodsandservices24022,6649.75,3244976.41,CREDIT
24/02/2017,Zenith POS Settlement Comm for24/02/2017,5.0,3244971.41,DEBIT
26/02/2017,SMS Notification Charge Feb 2017,252.0,3244719.41,DEBIT
27/02/2017,NEFT/INTERSWITCHNG/Goodsandservices27022,5458.75,3250178.16,CREDIT
27/02/2017,NEFT/INTERSWITCHNG/Goodsandservices25022,11463.39,3261641.55,CREDIT
27/02/2017,NEFT/INTERSWITCHNG/Goodsandservices26022,29923.89,3291565.44,CREDIT
27/02/2017,DS5626217/CD RUTH BABA,515500.0,3807065.44,CREDIT
28/02/2017,NEFT/INTERSWITCHNG/Goodsandservices28022,2084.25,3809149.69,CREDIT
28/02/2017,Zenith POS Settlement for 28/02/2017,8150.0,3817299.69,CREDIT
28/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 27Feb,9379.12,3826678.81,CREDIT
28/02/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 28Feb,10570.12,3837248.93,CREDIT
28/02/2017,Zenith POS Settlement Comm for28/02/2017,101.89,3837147.04,DEBIT
28/02/2017,STAMP DUTY CHARGE,3250.0,3830878.98,CREDIT
01/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 01Mar,1935.38,3832814.36,CREDIT
01/03/2017,Zenith POS Settlement for 01/03/2017,3550.0,3836364.36,CREDIT
01/03/2017,NEFT/INTERSWITCHNG/Goodsandservices01032,6401.63,3842765.99,CREDIT
01/03/2017,Zenith POS Settlement Comm for01/03/2017,44.38,3842721.61,CREDIT
01/03/2017,Interbank + VAT Charge,105.0,3842616.61,DEBIT
01/03/2017,wow//NEFT TRF TO IBRAHIM  BAKO,582000.0,3260616.61,DEBIT
02/03/2017,Zenith POS Settlement for 02/03/2017,13000.0,3273616.61,CREDIT
02/03/2017,NEFT/INTERSWITCHNG/Goodsandservices02032,15234.88,3288851.49,CREDIT
02/03/2017,Zenith POS Settlement Comm for02/03/2017,162.52,3288688.97,DEBIT
03/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 02Mar,794.0,3289482.97,CREDIT
03/03/2017,Zenith POS Settlement for 03/03/2017,1200.0,3290682.97,CREDIT
03/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 03Mar,1687.25,3292370.22,CREDIT
03/03/2017,NEFT/INTERSWITCHNG/Goodsandservices03032,5061.75,3297431.97,CREDIT
03/03/2017,Zenith POS Settlement Comm for03/03/2017,15.0,3297416.97,DEBIT
06/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 05Mar,1191.0,3298607.97,CREDIT
06/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 06Mar,3126.38,3301734.35,CREDIT
06/03/2017,NEFT/INTERSWITCHNG/Goodsandservices06032,5955.0,3307689.35,CREDIT
06/03/2017,Zenith POS Settlement for 06/03/2017,15250.0,3322939.35,CREDIT
06/03/2017,NEFT/INTERSWITCHNG/Goodsandservices06032,16078.5,3339017.85,CREDIT
06/03/2017,DS2225522/CD RUTH BABA,805000.0,4144017.85,CREDIT
06/03/2017,Zenith POS Settlement Comm for06/03/2017,190.63,4143827.22,DEBIT
07/03/2017,NEFT/INTERSWITCHNG/Goodsandservices07032,595.5,4144422.72,CREDIT
07/03/2017,Interbank + VAT Charge,105.0,4144317.72,DEBIT
08/03/2017,NEFT/INTERSWITCHNG/Goodsandservices08032,992.5,4045310.22,CREDIT
08/03/2017,Interbank + VAT Charge,420.0,4044890.22,DEBIT
08/03/2017,"save//NEFT TRF TO BABA, RUTHMAMA",1000000.0,3044890.22,DEBIT
09/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 09Mar,1488.75,3046378.97,CREDIT
09/03/2017,Zenith POS Settlement for 09/03/2017,3600.0,3049978.97,CREDIT
09/03/2017,Zenith POS Settlement Comm for09/03/2017,45.0,3049933.97,DEBIT
10/03/2017,STAMP DUTY CHARGE,800.0,3049133.97,DEBIT
13/03/2017,NEFT/INTERSWITCHNG/Goodsandservices11032,7642.26,3056776.23,CREDIT
13/03/2017,NEFT/INTERSWITCHNG/Goodsandservices12032,9379.13,3066155.36,CREDIT
13/03/2017,Zenith POS Settlement for 13/03/2017,10350.0,3076505.36,CREDIT
13/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 13Mar,13646.88,3090152.24,CREDIT
13/03/2017,NEFT/INTERSWITCHNG/Goodsandservices13032,14887.51,3105039.75,CREDIT
13/03/2017,DS 3346150 CD RUTH BABA,550000.0,3655039.75,CREDIT
13/03/2017,Zenith POS Settlement Comm for13/03/2017,129.39,3654910.36,DEBIT
14/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 14Mar,2779.0,3657689.36,CREDIT
14/03/2017,Zenith POS Settlement for 14/03/2017,4400.0,3662089.36,CREDIT
14/03/2017,NEFT/INTERSWITCHNG/Goodsandservices14032,6947.5,3669036.86,CREDIT
14/03/2017,Zenith POS Settlement Comm for14/03/2017,55.0,3668981.86,DEBIT
14/03/2017,Interbank + VAT Charge,420.0,3668561.86,DEBIT
14/03/2017,bags of flour//NEFT TRF TO IBRAHIMBAKO,1695000.0,1973561.86,CREDIT
15/03/2017,NEFT/INTERSWITCHNG/Goodsandservices15032,1191.0,1974752.86,CREDIT
16/03/2017,Zenith POS Settlement for 16/03/2017,5850.0,1980602.86,CREDIT
16/03/2017,NEFT/INTERSWITCHNG/Goodsandservices16032,11562.63,1992165.49,CREDIT
17/03/2017,NEFT/INTERSWITCHNG/Goodsandservices17032,2282.75,1994375.11,CREDIT
17/03/2017,Zenith POS Settlement for 17/03/2017,2900.0,1997275.11,CREDIT
17/03/2017,Zenith POS Settlement Comm for17/03/2017,36.25,1997238.86,DEBIT
17/03/2017,STAMP DUTY CHARGE,700.0,1996538.86,DEBIT
17/03/2017,rvsl-VISA POS 15 03 2017,1488.75,1995050.11,DEBIT
20/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 17Mar,2977.5,1998027.61,CREDIT
20/03/2017,NEFT/INTERSWITCHNG/Goodsandservices20032,3523.38,2001550.99,CREDIT
20/03/2017,NEFT/INTERSWITCHNG/Goodsandservices18032,7890.38,2009441.37,CREDIT
20/03/2017,Zenith POS Settlement for 20/03/2017,12200.0,2021641.37,CREDIT
20/03/2017,NEFT/INTERSWITCHNG/Goodsandservices19032,23919.26,2045560.63,CREDIT
20/03/2017,DS4036999/CD RUTH BABA,585000.0,2630560.63,CREDIT
20/03/2017,Zenith POS Settlement Comm for20/03/2017,152.52,2630408.11,DEBIT
21/03/2017,NEFT/INTERSWITCHNG/Goodsandservices21032,3374.5,2633782.61,CREDIT
21/03/2017,Zenith POS Settlement for 21/03/2017,3600.0,2637382.61,CREDIT
21/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 20Mar,5359.5,2642742.11,CREDIT
21/03/2017,Zenith POS Settlement Comm for21/03/2017,45.0,2642697.11,DEBIT
22/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 22Mar,595.5,2643292.61,CREDIT
22/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 21Mar,1389.5,2644682.11,CREDIT
22/03/2017,Zenith POS Settlement for 22/03/2017,2000.0,2646682.11,CREDIT
22/03/2017,NEFT/INTERSWITCHNG/Goodsandservices22032,3771.5,2650453.61,CREDIT
22/03/2017,Zenith POS Settlement Comm for22/03/2017,25.0,2650428.61,DEBIT
23/03/2017,NEFT/INTERSWITCHNG/Goodsandservices23032,1389.5,2651818.11,CREDIT
24/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 24Mar,2183.5,2654001.61,CREDIT
24/03/2017,NEFT/INTERSWITCHNG/Goodsandservices24032,20048.5,2676630.61,CREDIT
24/03/2017,SMS Notification Charge Mar 2017,192.0,2676438.61,DEBIT
24/03/2017,STAMP DUTY CHARGE,800.0,2675638.61,DEBIT
27/03/2017,NEFT/INTERSWITCHNG/Goodsandservices27032,992.5,2676631.11,CREDIT
27/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 27Mar,1885.75,2678516.86,CREDIT
27/03/2017,Zenith POS Settlement for 27/03/2017,8050.0,2686566.86,CREDIT
27/03/2017,NEFT/INTERSWITCHNG/Goodsandservices25032,8436.25,2695003.11,CREDIT
27/03/2017,NEFT/INTERSWITCHNG/Goodsandservices26032,14540.13,2709543.24,CREDIT
27/03/2017,DS4030783/CD DEREKI SHUABI,610000.0,3319543.24,CREDIT
27/03/2017,Zenith POS Settlement Comm for27/03/2017,100.63,3319442.61,CREDIT
28/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 27Mar,1091.75,3320534.36,CREDIT
28/03/2017,NEFT/INTERSWITCHNG/Goodsandservices28032,1985.0,3322519.36,CREDIT
28/03/2017,CD  RUTH BABA0901653,7220.0,3329739.36,CREDIT
29/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 29Mar,1389.5,3331128.86,CREDIT
29/03/2017,Zenith POS Settlement for 29/03/2017,2000.0,3333128.86,CREDIT
29/03/2017,NEFT/INTERSWITCHNG/Goodsandservices29032,7146.01,3340274.87,CREDIT
29/03/2017,Zenith POS Settlement Comm for29/03/2017,25.0,3340249.87,DEBIT
30/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 30Mar,1488.75,3341738.62,CREDIT
30/03/2017,Zenith POS Settlement for 30/03/2017,8200.0,3349938.62,CREDIT
30/03/2017,Zenith POS Settlement Comm for30/03/2017,102.5,3349836.12,DEBIT
31/03/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 31Mar,6848.25,3356684.37,CREDIT
31/03/2017,Zenith POS Settlement for 31/03/2017,7700.0,3364384.37,CREDIT
31/03/2017,NEFT/INTERSWITCHNG/Goodsandservices31032,10619.75,3375004.12,CREDIT
31/03/2017,Zenith POS Settlement Comm for31/03/2017,96.25,3374907.87,DEBIT
31/03/2017,STAMP DUTY CHARGE,800.0,3373897.87,CREDIT
31/03/2017,Acct Maint. Fee + VAT,3630.88,3370266.99,DEBIT
31/03/2017,Duste//NEFT TRF TO N/A,36000.0,3334266.99,DEBIT
31/03/2017,Chicken//NEFT TRF TO GAZALIBARAU,42500.0,3291766.99,DEBIT
03/04/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 03Apr,2084.25,3293851.24,CREDIT
03/04/2017,NEFT/INTERSWITCHNG/Goodsandservices03042,8833.25,3302684.49,CREDIT
03/04/2017,NEFT/INTERSWITCHNG/Goodsandservices02042,10818.25,3313502.74,CREDIT
03/04/2017,NEFT/INTERSWITCHNG/Goodsandservices01042,12704.0,3326206.74,CREDIT
03/04/2017,dp123060/ruth baba,715000.0,4041206.74,CREDIT
03/04/2017,Interbank + VAT Charge,105.0,4041101.74,DEBIT
03/04/2017,Interbank + VAT Charge,420.0,4040681.74,DEBIT
03/04/2017,RV Loc POS Prch-519911xxxx454602/04/2017,1985.0,4038696.74,DEBIT
03/04/2017,Instalation//NEFT TRF TO OGARCLEMENT OGABOR,10000.0,4028696.74,DEBIT
03/04/2017,"15 crates//NEFT TRF TO BELLO,SENORITA NANCY",13500.0,4015196.74,DEBIT
03/04/2017,"50kg,12.5kg//NEFT TRF TO UGWUEBENEZER",22500.0,3992696.74,DEBIT
03/04/2017,Repairs//NEFT TRF TO IBE GODWINNWACHUKWU,27000.0,3965696.74,DEBIT
03/04/2017,Lesson//NEFT TRF TO KALU .L.CHIKA,40000.0,3925696.74,DEBIT
04/04/2017,Zenith POS Settlement for 04/04/2017,4900.0,3930596.74,CREDIT
04/04/2017,NEFT/INTERSWITCHNG/Goodsandservices04042,7642.25,3938238.99,CREDIT
04/04/2017,NEFT RTD/N/A,36000.0,3974238.99,CREDIT
04/04/2017,Zenith POS Settlement Comm for04/04/2017,61.25,3974177.74,DEBIT
04/04/2017,Interbank + VAT Charge,105.0,3974072.74,DEBIT
04/04/2017,Interbank + VAT Charge,210.0,3973862.74,DEBIT
04/04/2017,12.5kg three//NEFT TRF TO UGWUEBENEZER,13500.0,3960362.74,DEBIT
04/04/2017,CHICKEN LAPS//TRF TO    SAYEDFARMS LTD-ABUJA A/C,146400.0,3791962.74,CREDIT
04/04/2017,Bread Leather//NEFT TRF TOVIVO&TECH INDUSTRIES LIMITED,350000.0,3441962.74,DEBIT
05/04/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 05Apr,2183.5,3444146.24,CREDIT
05/04/2017,Zenith POS Settlement for 05/04/2017,7700.0,3451846.24,CREDIT
05/04/2017,DS4037221/CD RUTH BABA,336000.0,3787846.24,CREDIT
05/04/2017,Zenith POS Settlement Comm for05/04/2017,96.25,3787749.99,DEBIT
05/04/2017,Interbank + VAT Charge,105.0,3787644.99,DEBIT
05/04/2017,LICENCE//TRF TO VICTORBENEDICT IME,19000.0,3768644.99,DEBIT
05/04/2017,Duste refill//NEFT TRF TO UGWUEBENEZER,36000.0,3732644.99,DEBIT
05/04/2017,MARGARINE//TRF TO    EVMIRACLE BAKERS COMPANY NIGLTD,228500.0,3504144.99,DEBIT
06/04/2017,NEFT/INTERSWITCHNG/Goodsandservices06042,2183.5,3506328.49,CREDIT
06/04/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 06Apr,4962.5,3511290.99,CREDIT
06/04/2017,Zenith POS Settlement for 06/04/2017,6000.0,3517290.99,CREDIT
06/04/2017,Zenith POS Settlement Comm for06/04/2017,75.0,3517215.99,DEBIT
06/04/2017,Interbank + VAT Charge,105.0,3517110.99,DEBIT
06/04/2017,Interbank + VAT Charge,105.0,3517005.99,DEBIT
06/04/2017,Transparent nylons//NEFT TRF TOAPEX PACKAGING LIMITED,15000.0,3502005.99,DEBIT
06/04/2017,50 chicken//NEFT TRF TO GAZALIBARAU,42500.0,3459505.99,DEBIT
07/04/2017,Zenith POS Settlement for 07/04/2017,3300.0,3462805.99,CREDIT
07/04/2017,NEFT/INTERSWITCHNG/Goodsandservices07042,4664.75,3467470.74,CREDIT
07/04/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 07Apr,6550.5,3474021.24,CREDIT
07/04/2017,D1S008052/CD DEREK SHUAIB,450000.0,3924021.24,CREDIT
07/04/2017,Zenith POS Settlement Comm for07/04/2017,41.25,3923979.99,DEBIT
07/04/2017,Interbank + VAT Charge,105.0,3923874.99,DEBIT
07/04/2017,Crocker//NEFT TRF TO Ikechukwu,37000.0,3885974.99,CREDIT
10/04/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 10Apr,1985.0,3887959.99,CREDIT
10/04/2017,NEFT/INTERSWITCHNG/Goodsandservices10042,4168.5,3892128.49,CREDIT
10/04/2017,NEFT/INTERSWITCHNG/Goodsandservices09042,6451.25,3898579.74,CREDIT
10/04/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 09Apr,7146.0,3905725.74,CREDIT
10/04/2017,NEFT/INTERSWITCHNG/Goodsandservices08042,8237.75,3913963.49,CREDIT
10/04/2017,Zenith POS Settlement for 10/04/2017,11800.0,3925763.49,CREDIT
10/04/2017,RTD CROCKER\NEFT TRFIKECHUKWU,37000.0,3962763.49,CREDIT
10/04/2017,Interbank + VAT Charge,105.0,3962658.49,DEBIT
10/04/2017,Interbank + VAT Charge,105.0,3962553.49,DEBIT
10/04/2017,Zenith POS Settlement Comm for10/04/2017,147.5,3962405.99,DEBIT
10/04/2017,Consultation//NEFT TRF TO A.Y.USMAN CONSULTING LIMITED,37500.0,3924905.99,DEBIT
10/04/2017,Three 50kg  five 12.5kg//NEFT TRFTO UGWU EBENEZER,76500.0,3848405.99,DEBIT
11/04/2017,NEFT/INTERSWITCHNG/Goodsandservices11042,4664.75,3853070.74,CREDIT
11/04/2017,Zenith POS Settlement for 11/04/2017,6800.0,3859870.74,CREDIT
11/04/2017,ds4049069/cd ruth baba,235000.0,4094870.74,CREDIT
11/04/2017,Zenith POS Settlement Comm for11/04/2017,85.0,4094785.74,DEBIT
12/04/2017,NEFT/INTERSWITCHNG/Goodsandservices12042,3970.0,4098755.74,CREDIT
12/04/2017,Zenith POS Settlement for 12/04/2017,4500.0,4103255.74,CREDIT
12/04/2017,Zenith POS Settlement Comm for12/04/2017,56.25,4103199.49,DEBIT
12/04/2017,ISW CHARGE:ISW/135603456975/1014794871/15crates//LYDIA A OKUTEPA,100.0,4103099.49,DEBIT
12/04/2017,TIMER//TRF TO VICTOR BENEDICTIME,4500.0,4098599.49,DEBIT
13/04/2017,NEFT/INTERSWITCHNG/Goodsandservices13042,5161.0,4090260.49,CREDIT
13/04/2017,ISW CHARGE:ISW/135603460510/1014794871/Maintainance//IHEANACHO ANTHONYEWUZIE,100.0,4090160.49,DEBIT
13/04/2017,ISW CHARGE:ISW/135603460529/1014794871/250kg 3 12.5kg//UGWU EBENEZER,100.0,4090060.49,DEBIT
13/04/2017,"ISW CHARGE:ISW/135603462518/1014794871/Thank you//ALADESANMI, ADEBOWALE",100.0,4089960.49,DEBIT
13/04/2017,ISW/135603460510/1014794871/Maintainance//IHEANACHO ANTHONYEWUZIE,18000.0,4071960.49,DEBIT
13/04/2017,"ISW/135603462518/1014794871/Thank you//ALADESANMI, ADEBOWALE",20000.0,4051960.49,DEBIT
13/04/2017,ISW/135603460529/1014794871/250kg 3 12.5kg//UGWU EBENEZER,49500.0,4002460.49,DEBIT
13/04/2017,6 BAGS//TRF TO SAYED FARMSLTD-ABUJA A/C,160800.0,3841660.49,DEBIT
14/04/2017,ISW CHARGE:ISW/135603463324/1014794871/50local chickens//GAZALI BARAU,100.0,3841560.49,DEBIT
14/04/2017,STAMP DUTY CHARGE,650.0,3840910.49,DEBIT
14/04/2017,ISW/135603463324/1014794871/50local chickens//GAZALI BARAU,42500.0,3798410.49,DEBIT
16/04/2017,DR PAUL//TRF TO    EV MIRACLEBAKERS COMPANY NIG LTD,35000.0,3763410.49,DEBIT
18/04/2017,NEFT/INTERSWITCHNG/Goodsandservices15042,2183.5,3765593.99,CREDIT
18/04/2017,NEFT/INTERSWITCHNG/Goodsandservices18042,3176.0,3768769.99,CREDIT
18/04/2017,Zenith POS Settlement for 18/04/2017,3200.0,3771969.99,CREDIT
18/04/2017,NEFT/INTERSWITCHNG/Goodsandservices14042,4962.5,3776932.49,CREDIT
18/04/2017,NEFT/UNIFIED PAYMENTS/VISAPayment 17Apr,7642.25,3784574.74,CREDIT
18/04/2017,NEFT/INTERSWITCHNG/Goodsandservices17042,13001.75,3797576.49,CREDIT
